dialogue_id,donation_raw,age,sex,extrovert,agreeable,conscientious,neurotic,open
20180904-045349_715_live,0.0,50.0,Female,3.2,4.0,3.8,2.0,3.2
20180904-024226_703_live,0.05,28.0,Male,2.8,3.4,3.8,3.0,5.0
20180904-073734_888_live,0.0,35.0,Female,4.0,3.0,3.6,2.6,3.2
20180904-043300_214_live,0.0,36.0,Male,1.4,2.4,4.4,3.8,3.6
20180904-030739_178_live,0.0,35.0,Female,2.2,4.0,3.4,2.8,3.0
20180904-004818_580_live,0.25,35.0,Female,3.2,5.0,4.8,1.8,4.6
20180904-025026_901_live,0.3,36.0,Female,3.4,4.0,4.0,3.8,3.6
20180904-012828_299_live,0.0,24.0,Female,1.6,3.2,3.6,3.0,2.6
20180904-032932_423_live,1.0,53.0,Female,3.8,4.8,5.0,3.2,3.6
20180904-012448_306_live,0.1,30.0,Male,3.2,4.2,4.2,3.0,4.2
20180828-151914_101_live,1.0,43.0,Female,3.8,3.8,3.8,3.4,3.0
20180828-165639_960_live,0.0,37.0,Male,3.8,4.0,3.6,2.0,3.4
20180825-112434_860_live,0.0,25.0,Female,3.8,5.0,5.0,3.6,4.4
20180825-053711_81_live,1.0,69.0,Male,3.2,4.6,4.6,1.8,3.4
20180825-050306_247_live,0.0,26.0,Male,2.8,3.6,3.4,3.0,2.4
20180825-080131_220_live,0.15,33.0,Female,2.8,4.6,4.6,3.4,4.2
20180825-071459_643_live,0.15,42.0,Male,4.6,4.4,4.4,1.8,3.8
20180825-081502_364_live,0.0,29.0,Male,4.0,4.0,4.0,1.0,3.8
20180825-075451_984_live,0.1,34.0,Female,4.2,4.2,3.8,1.6,4.6
20180825-073629_433_live,0.0,29.0,Male,4.0,4.0,4.0,1.0,3.8
20180825-070515_947_live,0.25,42.0,Female,3.0,3.6,5.0,2.0,3.4
20180825-062219_874_live,0.0,29.0,Male,3.2,3.4,3.4,3.8,3.2
20180825-044252_786_live,0.05,40.0,Male,4.0,5.0,4.2,2.2,3.2
20180825-075627_48_live,0.0,45.0,Male,4.2,4.4,4.4,1.6,4.0
20180825-073813_141_live,0.0,21.0,Female,1.2,5.0,4.8,5.0,2.2
20180825-073559_995_live,0.0,26.0,Male,3.8,4.0,4.0,2.0,3.8
20180825-065411_526_live,0.1,30.0,Male,3.8,4.8,4.2,2.6,3.6
20180825-084254_215_live,1.0,50.0,Female,3.2,4.0,3.8,2.0,3.2
20180825-081402_621_live,0.3,58.0,Female,2.8,4.6,4.2,2.0,4.0
20180825-043341_782_live,0.1,66.0,Female,2.8,4.0,4.4,1.2,4.8
20180825-075630_493_live,1.0,72.0,Male,2.8,4.2,4.2,2.4,3.8
20180825-065106_23_live,0.1,43.0,Male,2.8,3.8,4.2,2.2,4.0
20180825-111850_152_live,0.0,29.0,Male,4.0,4.0,4.0,1.0,3.8
20180825-075647_663_live,0.0,27.0,Male,3.0,3.0,3.0,3.0,3.0
20180825-064811_939_live,0.05,22.0,Female,3.8,3.8,3.8,2.4,3.6
20180825-054948_621_live,0.3,49.0,Female,2.4,3.8,5.0,2.0,4.0
20180825-044048_639_live,0.05,28.0,Female,3.6,4.0,3.6,1.6,4.0
20180825-085214_779_live,0.0,27.0,Male,3.0,3.0,3.0,3.0,3.0
20180825-085908_923_live,0.0,47.0,Female,5.0,4.4,5.0,2.8,4.0
20180825-080436_824_live,10.0,60.0,Female,3.4,5.0,3.8,2.2,3.6
20180825-080802_964_live,1.0,64.0,Female,3.2,4.0,4.0,2.8,3.2
20180825-075844_569_live,0.25,30.0,Male,2.4,4.2,4.4,2.0,4.2
20180825-071727_819_live,0.15,47.0,Male,2.8,2.8,4.2,1.8,2.4
20180825-060212_445_live,0.1,50.0,Male,1.8,3.8,2.2,3.0,4.6
20180825-060251_387_live,0.15,33.0,Female,3.8,3.8,3.4,4.0,3.6
20180825-063117_677_live,0.2,24.0,Male,3.2,4.8,4.6,2.4,4.2
20180825-063009_943_live,0.0,40.0,Male,1.8,3.0,3.8,3.4,3.4
20180825-052611_640_live,0.0,33.0,Male,4.0,4.2,5.0,2.0,4.6
20180825-090251_7_live,0.0,23.0,Female,2.8,2.8,2.8,2.4,2.4
20180825-055321_232_live,0.1,50.0,Female,3.2,4.0,3.8,2.0,3.2
20180825-083430_379_live,0.0,27.0,Male,3.0,3.0,3.0,3.0,3.0
20180825-102556_172_live,1.0,51.0,Female,3.6,2.4,2.8,3.6,4.2
20180825-082635_438_live,0.15,33.0,Male,2.4,3.4,3.4,2.4,3.2
20180825-083745_516_live,0.15,31.0,Female,5.0,5.0,4.8,1.0,4.2
20180825-043516_619_live,0.0,53.0,Female,5.0,4.2,3.4,2.6,4.2
20180825-045559_409_live,0.0,40.0,Male,4.0,4.0,4.0,2.0,4.0
20180825-085709_930_live,0.1,31.0,Male,3.8,4.4,4.4,1.2,3.8
20180825-075611_866_live,0.05,34.0,Male,4.6,4.0,4.0,1.2,3.4
20180825-043229_970_live,0.0,37.0,Female,4.2,5.0,5.0,3.8,4.2
20180825-143255_249_live,0.05,28.0,Female,5.0,5.0,4.8,1.2,4.4
20180825-100043_534_live,0.1,45.0,Female,3.6,3.4,4.6,1.6,3.4
20180825-064838_945_live,0.0,24.0,Male,2.6,3.6,2.6,1.8,3.2
20180825-051212_932_live,7.0,24.0,Male,4.0,3.6,3.2,2.4,2.0
20180825-112615_516_live,0.0,27.0,Male,3.0,3.8,4.4,4.6,3.4
20180825-075658_709_live,0.0,52.0,Female,3.2,5.0,5.0,2.6,4.0
20180825-044358_663_live,0.0,27.0,Male,3.2,3.4,3.4,3.2,3.0
20180825-074318_984_live,0.3,50.0,Female,2.0,4.8,5.0,1.4,3.4
20180825-062128_451_live,0.5,31.0,Female,3.0,4.6,4.0,2.4,3.8
20180825-210735_192_live,0.1,29.0,Female,3.8,4.6,4.4,2.8,3.2
20180825-070900_49_live,0.25,57.0,Male,3.8,4.6,4.0,1.2,4.2
