dialogue_id,turn,text,emotion
53,0,I'm sorry I'm late .,5
53,1,Better late than never .,0
60,0,I'm a little rushed . Is there any quicker way to get there ?,0
60,1,"Yeah , of course . You can take a taxi .",0
60,2,How much will that run me ?,0
60,3,"It depends on traffic and distance , but it is reasonable .",0
60,4,Do the drivers speak English ?,0
60,5,"Some are better than others . But , you shouldn't have a problem .",0
60,6,Are they safe ?,0
60,7,"For the most part , yes . If you don't feel comfortable with it , then it is best not to take one at night .",0
66,0,"Ah , Oh ! Are you hurt ?",0
66,1,I don't think so . I'm just shaken up a little .,0
66,2,Maybe I'd better call an ambulance .,0
66,3,"No , don't bother . I think I'm OK .",0
66,4,Are you sure ?,0
66,5,"Yes , it's OK .",0
67,0,Taxi !,0
67,1,Where would you like to go ?,0
67,2,Please rush me to the railway station,0
67,3,Get in and close the door .,0
67,4,Can you speed up a bit ?,0
67,5,Sorry . The road is too crowded .,5
67,6,But I have no time to lose .,0
67,7,But I can't help it .,0
67,8,Can you drop me off here ?,0
67,9,Sorry . We mustn't stop here .,5
82,0,I can't find my keys .,0
82,1,Where did you See then last ?,0
88,0,Let's go !,0
88,1,Where to ?,0
95,0,"Jessie , I ’ m afraid I can ’ t come back home for dinner tonight .",0
95,1,Not back home for dinner again ? That ’ s the third time this week !,1
95,2,I ’ m sorry . Our company has just opened . There are always too many things to handle . You know that .,5
95,3,You don ’ t have to explain . Suit yourself .,0
95,4,"I apologize . You have my word , I ’ ll spend some time with you on the weekend . I promise .",0
95,5,We ’ ll see .,0
95,6,Thank you for understanding . I promise I ’ ll make it up to you .,4
97,0,"Sam , you ’ Ve got to forgive me .",0
97,1,Forgive you for what ?,0
97,2,I used your computer . And I ’ m afraid I ’ Ve erased your personal files accidentally .,0
97,3,No ! Are you kidding me ?,6
97,4,I ’ m afraid not . I apologize .,5
97,5,I can ’ t believe it ! I have all my important personal documents stored in that computer . It ’ s no laughing matter .,1
97,6,I told you I ’ m sorry . What can I do to make it up to you ?,5
97,7,"Well , you should be sorry ! Don ’ t ever use my computer again ! You can ’ t do anything now , it ’ s too late !",1
127,0,Why did you stay home today ?,0
127,1,I'm off today .,0
148,0,I come home for lunch .,0
148,1,How long have you got ?,0
148,2,Only 1 hour .,0
148,3,"Okay , I'll make you some food .",0
151,0,We're broke .,0
151,1,I can't believe it 。,6
177,0,"Peter , enough with your computer games . Go do your homework now .",0
177,1,Can't I play more ?,0
177,2,No ! Stop playing computer games !,0
177,3,"Mom , I'll be finished soon .",0
177,4,"Peter , if you don't turn off your computer , then I won't allow you to play it again starting next week .",0
178,0,"Hi , who has the remote control ?",0
178,1,"I do . Why , do you want me to change the channel ?",0
178,2,"Yes , please . I can't stand watching the channel any more .",1
178,3,I think they have pretty good programmes . But I'll change it if you really want .,0
178,4,"Put it on Channel 5 , OK ?",0
178,5,"Oh , I hate Channel 5 . I'd rather just listen to the radio .",0
178,6,Don't make such a fuss . I'm sure you will like today's programme .,0
178,7,What's on today ?,0
178,8,A basketball match between Chinese team and American team .,0
178,9,Really ? I'm interested in it .,0
178,10,It might begin now .,0
192,0,Open the book and turn to page 10 .,0
192,1,It is difficult .,0
192,2,"No , honey , it's easy if you know the way .",0
192,3,Do I have to memorize it ?,0
192,4,"No , honey , try to make notes in your notebook .",0
225,0,"Honey , I need to have a talk with you .",0
225,1,"Dad , I have to do my homework .",0
225,2,"No , honey , why didn't you go to cram school last night ?",0
225,3,"Dad , I don't want to talk about it now .",0
225,4,"Honey , if you don't want to go to cram school , you should tell me the reason why .",0
225,5,"I'm sorry , dad . But I would rather stay at school than go to cram school .",0
228,0,Can you give me a hand ?,0
228,1,Of course .,0
251,0,Where's the nearest bank ?,0
251,1,It's just around the corner,0
265,0,"Hi , sir . Come and have a look here . We have all kinds of sweaters .",0
265,1,I ’ m looking for a sweater for my wife . Tomorrow is her birthday . And I know she needs a woolen sweater .,0
265,2,"How do you like this grey one ? It ’ s pure wool , one hundred percent of Xinjiang wool .",0
265,3,It feels good . Are there cowl-neck pullovers with the same color ? My wife prefers a turtleneck to a V-shaped collar .,0
265,4,"Yes , we do . What size do you want ?",0
265,5,"Size one . By the way , what if I bring home this sweater and my wife doesn ’ t like it ?",0
265,6,"Well , you can always bring it back to us for a full refund .",0
265,7,"All right . Could I have it gift-wrapped , please ?",0
265,8,"Yes , just a moment , please .",4
277,0,Would you show me some table-cloths ?,0
277,1,Certainly . ( Take a table-cloth to her ),4
277,2,How much is it ?,0
277,3,A table-cloth of this size and style is 15 Yuan .,0
277,4,That ’ s reasonable .,0
277,5,"If you take good care of it , it will last you quite a number of years .",0
277,6,Really ? I ’ ll take it then .,0
281,0,"Excuse me , I'm a little lost . Which bus do I take to get to Shi Da ?",0
281,1,"Let's see . From here , you have to take the 278 bus .",0
281,2,"Oh OK , where do I get off ?",0
281,3,You should get off at the first Shi Da stop .,0
281,4,"Ok , thanks ...",4
281,5,"You're new at this , huh ?",0
281,6,"No , is it difficult ?",0
281,7,"No , it's quite simple . When you get on , just ask the bus driver when to pay the fare and where you want to get off .",0
281,8,How much does it cost ?,0
281,9,"Only 15 NT per section . Oh look , that is your bus .",0
281,10,"Wow , I can't thank you enough .",4
281,11,Don't mention it .,4
292,0,"We can't go that way , the road is blocked for the next few days .",0
292,1,"Oh , that's right . They're filming a movie up there , aren't they ?",0
292,2,"Some high speed chase scene , I think .",0
292,3,I wonder how all the businesses in the area feel about that .,0
292,4,I think that they get a pretty good payoff .,0
292,5,The movie company has to pay them ?,0
292,6,"I don't know about all of that , but think about it , their business gets free publicity !",4
292,7,"Oh , yeah , they get to be in a movie for the whole world to see !",4
294,0,Welcome . May I help you ?,0
294,1,"Use , I want a eye-shadow .",0
294,2,We have different colours of eye-shadow . May I know what colour you usually wear ?,0
294,3,"Purple . But today , I'm thinking of buying one in a bright colour .",0
294,4,"Yes , I see . How do you like this one ?",0
294,5,May I have a try ?,0
294,6,Certainly .,4
294,7,It's still too dark . Any brighter colours ?,0
294,8,"Not from this brand , I'm afraid .",5
294,9,What about other brands ?,0
294,10,How about this one ?,0
294,11,"Oh , that's the very thing I need .",4
314,0,What can I do for you ?,0
314,1,"I am looking for cologne , small bottle . Can I see that one in the glass shelf ?",0
314,2,"Yes , of course , this one costs 260 yuan .",0
314,3,It's too expensive .,5
314,4,If you think it's expensive . You can look at this one .,0
314,5,What's the difference between the two ?,0
314,6,It's difficult to explain . But this one is really cheap .,0
314,7,Let me see .,0
318,0,I would like to buy some local handcrafts as gifts to my friends and relatives .,0
318,1,"There are many stores selling handcrafts in Paris . Our store is wellknown for vase , table wear and jewelry boxes . You can take your time and choose whatever you like .",0
318,2,"Well , the tapestry is delicate and beautiful .",4
318,3,"You have made an excellent choice , it is our newcomer . The tapestry is on hot sell with the design and quality . The design on it is traditional Paris architecture .",0
318,4,How much is it ?,0
318,5,100 frances .,0
318,6,"Mmm , it is reasonable . Look at this set of table wear , it is so beautiful !",4
318,7,We have a piece of table clothing to go with it . It is a brocade one with pretty stars .,0
318,8,This silver vase is a good ornament for the living room .,0
318,9,You are right .,0
318,10,"I will take the tapestry , the set of table wear and the vase .",0
318,11,OK . Do you like these candles ? They are on sale now .,0
318,12,All right . I will take one .,4
356,0,Who gave my dog this cooked chicken bone ?,0
356,1,I did . Why ?,0
356,2,Didn't you know dogs shouldn't eat cooked chicken bones because they're bad for their stomachs ?,0
356,3,"No , I didn't . I'm sorry . It won't happen again .",5
399,0,I need to buy some fruit .,0
399,1,All the fruit are pretty fresh here .,0
399,2,How much are the pears ?,0
399,3,They're four yuan per kilo .,0
