dialogue_id,sent_idx,turn,role,text,er_label,ee_label
20180719-210146_172_live,0,0,persuader,Hello.,greeting,
20180719-210146_172_live,1,0,persuader,How are you?,greeting,
20180719-210146_172_live,2,0,persuadee,"I'm good, how are you doing?",,greeting
20180719-210146_172_live,3,1,persuader,Very well.,greeting,
20180719-210146_172_live,4,1,persuader,I'm just up organizing info for my charity.,other,
20180719-210146_172_live,5,1,persuader,Are you involved with charities?,task-related-inquiry,
20180719-210146_172_live,6,1,persuadee,Yes!,,positive-to-inquiry
20180719-210146_172_live,7,1,persuadee,I work with children who have terminal illnesses.,,positive-to-inquiry
20180719-210146_172_live,8,1,persuadee,What charity are you involved in?,,task-related-inquiry
20180719-210146_172_live,9,2,persuader,That's great!,acknowledgement,
20180719-210146_172_live,10,2,persuader,I help with Save The Children.,neutral-to-inquiry,
20180719-210146_172_live,11,2,persuadee,Amazing!,,acknowledgement
20180719-210146_172_live,12,2,persuadee,Working with kids is the best.,,positive-reaction-to-donation
20180719-210146_172_live,13,2,persuadee,What do you do for Save the Children?,,task-related-inquiry
20180719-210146_172_live,14,3,persuader,I help raise donations and volunteer time.,neutral-to-inquiry,
20180719-210146_172_live,15,3,persuadee,That's so important.,,acknowledgement
20180719-210146_172_live,16,3,persuadee,How do you raise donations?,,task-related-inquiry
20180719-210146_172_live,17,4,persuader,By directly asking for aid.,neutral-to-inquiry,
20180719-210146_172_live,18,4,persuader,Do you currently donate to your charity?,task-related-inquiry,
20180719-210146_172_live,19,4,persuadee,"Yes I do, but I'm happy to donate to yours as well!",,agree-donation
20180719-210146_172_live,20,5,persuader,Wonderful!,acknowledgement,
20180719-210146_172_live,21,5,persuader,Would you be will to donate $1.00 of your task money to help Save the Children?,proposition-of-donation,
20180719-210146_172_live,22,5,persuader,"Save The Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",credibility-appeal,
20180719-210146_172_live,23,5,persuadee,"Yes, I would be happy to!",,agree-donation
20180719-210146_172_live,24,6,persuader,Would $2.00 be too much to ask?,ask-donate-more,
20180719-210146_172_live,25,6,persuadee,"No, I can do it.",,agree-donation
20180719-210146_172_live,26,7,persuader,Thank you.,thank,
20180719-210146_172_live,27,7,persuader,Can we make it $1.50?,confirm-donation,
20180719-210146_172_live,28,7,persuader,These children really need the assistance.,logical-appeal,
20180719-210146_172_live,29,7,persuadee,$1.50 sounds good then.,,provide-donation-amount
20180719-210146_172_live,30,8,persuader,Why not $1.75 then? :-),ask-donate-more,
20180719-210146_172_live,31,8,persuadee,I can do $2.00!,,provide-donation-amount
20180719-210146_172_live,32,8,persuadee,Happy to help.,,positive-reaction-to-donation
20180719-210146_172_live,33,9,persuader,Thank you so much!,thank,
20180719-210146_172_live,34,9,persuader,Do you have any more questions for me?,task-related-inquiry,
20180719-210146_172_live,35,9,persuadee,Nope.,,negative-to-inquiry
20180719-210146_172_live,36,9,persuadee,Thank you!,,thank
20180723-042344_940_live,0,0,persuader,How much money do you spend daily on extras like a coffee or treat?,personal-related-inquiry,
20180723-042344_940_live,1,0,persuadee,"I spend about 5 dollars a day, you?",,neutral-reaction-to-donation
20180723-042344_940_live,2,1,persuader,About 1 dollar per day.,neutral-to-inquiry,
20180723-042344_940_live,3,1,persuader,Do you think that amount of money would make a difference in a needy child's life?,task-related-inquiry,
20180723-042344_940_live,4,1,persuadee,I think it would in many places,,positive-to-inquiry
20180723-042344_940_live,5,2,persuader,I agree.,acknowledgement,
20180723-042344_940_live,6,2,persuader,Are you familiar with a charity called Save the Children?,source-related-inquiry,
20180723-042344_940_live,7,2,persuadee,No i am not can you explain?,,negative-to-inquiry
20180723-042344_940_live,8,3,persuader,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",credibility-appeal,
20180723-042344_940_live,9,3,persuadee,Wow thats great.,,acknowledgement
20180723-042344_940_live,10,3,persuadee,How can I help?,,task-related-inquiry
20180723-042344_940_live,11,4,persuader,"We can help by making a donation which is essential to help ensuring children's rights to health, education, safety, etc.",donation-information,
20180723-042344_940_live,12,4,persuadee,Thank you.,,thank
20180723-042344_940_live,13,4,persuadee,How do i donate?,,ask-donation-procedure
20180723-042344_940_live,14,5,persuader,You can donate by choosing an amount of your task payment from $0 to all.,donation-information,
20180723-042344_940_live,15,5,persuadee,Ok i will donate some,,agree-donation
20180723-042344_940_live,16,6,persuader,That's great!,acknowledgement,
20180723-042344_940_live,17,6,persuader,The monies will go to a worthy cause.,foot-in-the-door,
20180723-042344_940_live,18,6,persuader,Every little bit helps.,foot-in-the-door,
20180723-042344_940_live,19,6,persuadee,Tha k you so much for the infkrmation,,thank
20180723-042344_940_live,20,7,persuader,You are welcome.,you-are-welcome,
20180723-042344_940_live,21,7,persuadee,I will donate 10 cents,,provide-donation-amount
20180723-042344_940_live,22,8,persuader,Any chance you would consider making a greater donation?,ask-donate-more,
20180723-042344_940_live,23,8,persuadee,That is all i can afford,,disagree-donation
20180723-042344_940_live,24,9,persuader,It is automatically deducted from your task payment.,donation-information,
20180723-042344_940_live,25,9,persuader,It will be collected by the research team and sent to Save the Children.,donation-information,
20180723-042344_940_live,26,9,persuader,Thank you for your contribution!,thank,
20180723-042344_940_live,27,9,persuadee,Tha k you for my awareness,,thank
20180723-042421_113_live,0,0,persuader,This site Helps many child,credibility-appeal,
20180723-042421_113_live,1,0,persuadee,What kind of children does it help?,,ask-donation-procedure
20180723-042421_113_live,2,1,persuader,Their motto is to help children's future...that every child deserves a future,credibility-appeal,
20180723-042421_113_live,3,1,persuadee,What is the name of the organization?,,ask-org-info
20180723-042421_113_live,4,2,persuader,Save the Children,credibility-appeal,
20180723-042421_113_live,5,2,persuadee,How do they help children?,,ask-org-info
20180723-042421_113_live,6,2,persuadee,Food?,,other
20180723-042421_113_live,7,2,persuadee,Clothing?,,other
20180723-042421_113_live,8,2,persuadee,Shelter?,,other
20180723-042421_113_live,9,2,persuadee,Education?,,other
20180723-042421_113_live,10,3,persuader,They help in the children's basic need like food and clothing.,credibility-appeal,
20180723-042421_113_live,11,3,persuader,They help in whatever it takes for children to transforming their lives and the future,credibility-appeal,
20180723-042421_113_live,12,3,persuadee,Is this charity local?,,ask-org-info
20180723-042421_113_live,13,3,persuadee,global?,,other
20180723-042421_113_live,14,3,persuadee,Just in my country (United States)?,,other
20180723-042421_113_live,15,4,persuader,This charity is from Fairfield Town in Connecticut,credibility-appeal,
20180723-042421_113_live,16,4,persuadee,"I think  it's important to support initiatives to help children get a good education, and have the things they need to go to school and learn.",,positive-reaction-to-donation
20180723-042421_113_live,17,4,persuadee,How much should we donate?,,ask-donation-procedure
20180723-042421_113_live,18,5,persuader,Ya.. It's very important.,positive-to-inquiry,
20180723-042421_113_live,19,5,persuader,"There are many way to donate money like one time gift, Monthly donor, and sponsorship for some children.",neutral-to-inquiry,
20180723-042421_113_live,20,5,persuadee,"Sponsorship of a child might be interesting....I'd like to know what my donation is being used for, and that it's actually helping someone.",,positive-reaction-to-donation
20180723-042421_113_live,21,6,persuader,Child sponsorship works like a way of giving and that connects one compassionate person like you with one child in need.,logical-appeal,
